coverage_id,coverage_item,related_req,test_method
CI-01,结算时包含一个商品且信息完整,REQ-1,Equivalence Partitioning
CI-02,结算时包含多个商品且信息完整,REQ-1,Equivalence Partitioning
CI-03,购物车为空,REQ-2,Equivalence Partitioning
CI-04,商品单价为0,REQ-2,Boundary Value Analysis
CI-05,购买数量为小数,REQ-2,Equivalence Partitioning
CI-06,购买数量超过库存,REQ-2,Equivalence Partitioning
CI-07,购物车为空时显示错误信息“购物车不能为空”,REQ-3,Equivalence Partitioning
CI-08,商品单价非法时显示错误信息“商品单价非法”,REQ-3,Equivalence Partitioning
CI-09,库存不足时显示错误信息“库存不足”,REQ-3,Equivalence Partitioning
CI-10,单个商品小计计算正确 (单价×数量),REQ-4,Equivalence Partitioning
CI-11,多个商品小计求和正确,REQ-4,Equivalence Partitioning
CI-12,订单原价=200时免运费,REQ-5,Boundary Value Analysis
CI-13,订单原价=199.99时收取10元运费,REQ-5,Boundary Value Analysis
CI-14,订单原价=200.01时免运费,REQ-5,Boundary Value Analysis
CI-15,输入校验失败后终止结算，不进行金额计算,REQ-6,Decision Table
CI-16,输入校验通过后按顺序计算小计、原价、运费、最终金额,REQ-6,Decision Table
CI-17,最终应付金额=订单原价+运费 (例如订单原价150，运费10，最终160),REQ-7,Equivalence Partitioning
CI-18,最终金额保留两位小数 (例如10.5应显示为10.50),REQ-7,Equivalence Partitioning
CI-19,结算成功返回订单原价、运费、最终应付金额和成功状态,REQ-8,Equivalence Partitioning
CI-20,结算成功时所有计算结果正确,REQ-8,Equivalence Partitioning
CI-21,结算失败返回失败状态并保留购物车内容,REQ-9,Equivalence Partitioning
CI-22,多种失败条件同时存在时返回失败状态,REQ-9,Decision Table
CI-23,提交结算请求后状态从“待结算”变为“校验中”,REQ-10,State Transition Testing
CI-24,校验通过后状态变为“结算成功”,REQ-10,State Transition Testing
CI-25,校验失败后状态变为“结算失败”,REQ-10,State Transition Testing
CI-26,客户端传入的最终金额被忽略，系统使用重新计算的值,REQ-11,Equivalence Partitioning
CI-27,即使客户端传入错误金额，系统依旧正确计算,REQ-11,Equivalence Partitioning
CI-28,单个购物车结算请求响应时间小于200毫秒（单商品）,REQ-12,Equivalence Partitioning
CI-29,多个商品（如50个）结算请求响应时间小于200毫秒,REQ-12,Equivalence Partitioning
CI-30,相同输入重复请求3次，结果一致,REQ-13,Equivalence Partitioning
CI-31,相同输入在不同时间请求，结果一致,REQ-13,Equivalence Partitioning
